predict_event,pleasantness,attention,other_responsblt,chance_control,social_norms,% Total Attn
0.0030512316152453423,0.7519856095314026,0.0031075712759047747,0.012532061897218227,0.007873798720538616,0.013383760116994381,12.33116872883475
0.23337405920028687,0.0022666880395263433,0.49270209670066833,0.0599660687148571,0.032946743071079254,0.059481292963027954,13.713914878376466
0.03779909387230873,0.0396149568259716,0.02393646538257599,0.021556789055466652,0.013658992946147919,0.027387598529458046,2.5529186500689756
0.02983989380300045,0.12582658231258392,0.02466726489365101,0.03269322216510773,0.02271084487438202,0.0288548544049263,4.119960285226823
0.006925882771611214,0.6775174140930176,0.00740654906257987,0.01783488504588604,0.011453005485236645,0.023676186800003052,11.597463645636216
0.016147786751389503,0.10164602845907211,0.016859794035553932,0.040087755769491196,0.031804513186216354,0.028894567862153053,3.6660324527675563
0.06916890293359756,0.2794651389122009,0.051201727241277695,0.04028353467583656,0.015219493769109249,0.06761670112609863,8.142916229923266
0.016953513026237488,0.6896608471870422,0.01335463672876358,0.029610075056552887,0.012668970972299576,0.03970107436180115,12.487113147977706
0.10117527842521667,0.08357276767492294,0.1366024762392044,0.21344614028930664,0.16653458774089813,0.16581876575946808,13.502353370857985
0.13519690930843353,0.21038000285625458,0.0853414312005043,0.06309712678194046,0.027915894985198975,0.12180636078119278,10.023610784484744
0.021892063319683075,0.05261422321200371,0.025134943425655365,0.022609584033489227,0.01930907927453518,0.024934744462370872,2.592480414159873
0.007060181815177202,0.26591217517852783,0.00833088532090187,0.021550213918089867,0.014183956198394299,0.021417589858174324,5.270067411685641
0.0565487330701823,0.27337186952354386,0.07405382012560342,0.04793895478360355,0.03135665676866969,0.05191445808547238,8.333333333333332
