emotion_label,cls_to_appraisals_avg,appraisals_to_cls_avg
anger,"[[0.0030512316152453423, 0.7519856095314026, 0.0031075712759047747, 0.012532061897218227, 0.007873798720538616, 0.013383760116994381], [0.23337405920028687, 0.0022666880395263433, 0.49270209670066833, 0.0599660687148571, 0.032946743071079254, 0.059481292963027954], [0.03779909387230873, 0.0396149568259716, 0.02393646538257599, 0.021556789055466652, 0.013658992946147919, 0.027387598529458046], [0.02983989380300045, 0.12582658231258392, 0.02466726489365101, 0.03269322216510773, 0.02271084487438202, 0.0288548544049263], [0.006925882771611214, 0.6775174140930176, 0.00740654906257987, 0.01783488504588604, 0.011453005485236645, 0.023676186800003052], [0.016147786751389503, 0.10164602845907211, 0.016859794035553932, 0.040087755769491196, 0.031804513186216354, 0.028894567862153053], [0.06916890293359756, 0.2794651389122009, 0.051201727241277695, 0.04028353467583656, 0.015219493769109249, 0.06761670112609863], [0.016953513026237488, 0.6896608471870422, 0.01335463672876358, 0.029610075056552887, 0.012668970972299576, 0.03970107436180115], [0.10117527842521667, 0.08357276767492294, 0.1366024762392044, 0.21344614028930664, 0.16653458774089813, 0.16581876575946808], [0.13519690930843353, 0.21038000285625458, 0.0853414312005043, 0.06309712678194046, 0.027915894985198975, 0.12180636078119278], [0.021892063319683075, 0.05261422321200371, 0.025134943425655365, 0.022609584033489227, 0.01930907927453518, 0.024934744462370872], [0.007060181815177202, 0.26591217517852783, 0.00833088532090187, 0.021550213918089867, 0.014183956198394299, 0.021417589858174324]]","[[0.03936569765210152, 0.06090877950191498, 0.03023764304816723, 0.05981612578034401, 0.03276999294757843, 0.042067766189575195], [0.035384077578783035, 0.02136784978210926, 0.06686276197433472, 0.0927203893661499, 0.08357346057891846, 0.0461854487657547], [0.06534761935472488, 0.013798811472952366, 0.0489901565015316, 0.05058509483933449, 0.058805640786886215, 0.045229315757751465], [0.007043968886137009, 0.0015169153921306133, 0.0050402539782226086, 0.0034240547101944685, 0.00498632388189435, 0.004425765946507454], [0.1186424270272255, 0.13083501160144806, 0.09390439838171005, 0.21813005208969116, 0.18118488788604736, 0.15934298932552338], [0.03395994007587433, 0.015606548637151718, 0.03735648840665817, 0.07661259919404984, 0.06416372209787369, 0.05819759890437126], [0.05563781037926674, 0.09900084882974625, 0.07419867068529129, 0.09592455625534058, 0.12445787340402603, 0.10253560543060303], [0.14739330112934113, 0.07035272568464279, 0.17642343044281006, 0.18463438749313354, 0.20479875802993774, 0.15958088636398315], [0.13261385262012482, 0.09077636152505875, 0.12969420850276947, 0.13578948378562927, 0.15497620403766632, 0.14471839368343353], [0.028990911319851875, 0.037775468081235886, 0.042959969490766525, 0.059322476387023926, 0.061430249363183975, 0.0710872933268547], [0.17831559479236603, 0.10629096627235413, 0.1648930162191391, 0.2376498430967331, 0.17783714830875397, 0.17980925738811493], [0.07072246819734573, 0.05984228476881981, 0.07711265236139297, 0.11550871282815933, 0.0739765539765358, 0.07160650938749313]]"
boredom,"[[0.0017666188068687916, 0.8140822649002075, 0.0018103531328961253, 0.006684744264930487, 0.00422829482704401, 0.013876929879188538], [0.22500517964363098, 0.002329495269805193, 0.48201367259025574, 0.055922914296388626, 0.03451761230826378, 0.05635340139269829], [0.026004532352089882, 0.042786918580532074, 0.016973217949271202, 0.014975575730204582, 0.010339802131056786, 0.017827564850449562], [0.029082272201776505, 0.12800642848014832, 0.02446138486266136, 0.030669737607240677, 0.02421986311674118, 0.031351614743471146], [0.003879726165905595, 0.7612046003341675, 0.004089246038347483, 0.008554122410714626, 0.006144399289041758, 0.018584346398711205], [0.01589301973581314, 0.1097148060798645, 0.0162105280905962, 0.03753244876861572, 0.03159862011671066, 0.03292873129248619], [0.053397178649902344, 0.32297590374946594, 0.04238732159137726, 0.02848758175969124, 0.01340558473020792, 0.044220782816410065], [0.010327629745006561, 0.7616090774536133, 0.008619865402579308, 0.016087787225842476, 0.00856686383485794, 0.02751746028661728], [0.09796158969402313, 0.0854763388633728, 0.13777180016040802, 0.2047170251607895, 0.16809895634651184, 0.16019794344902039], [0.10137607157230377, 0.26432010531425476, 0.06910146772861481, 0.049746446311473846, 0.028413869440555573, 0.0875193253159523], [0.02030523680150509, 0.052255451679229736, 0.023351646959781647, 0.021503247320652008, 0.019155723974108696, 0.025168776512145996], [0.006595870014280081, 0.316185861825943, 0.007552017457783222, 0.01915014162659645, 0.014135513454675674, 0.026406312361359596]]","[[0.038828495889902115, 0.06295740604400635, 0.02847180888056755, 0.07096345722675323, 0.03499262407422066, 0.0506746880710125], [0.04025592654943466, 0.015781396999955177, 0.06474045664072037, 0.10218092054128647, 0.08076969534158707, 0.05038055032491684], [0.08555342257022858, 0.015861548483371735, 0.06417760998010635, 0.06721845269203186, 0.0746711790561676, 0.05447205901145935], [0.01035140361636877, 0.0017874572658911347, 0.007310608401894569, 0.005413050763309002, 0.006102566607296467, 0.006594809703528881], [0.13017113506793976, 0.14768673479557037, 0.09821128845214844, 0.23334592580795288, 0.1847044676542282, 0.17630009353160858], [0.04834238439798355, 0.01738026551902294, 0.046211127191782, 0.11302553117275238, 0.08599270135164261, 0.07995525747537613], [0.07341766357421875, 0.13248920440673828, 0.09160856157541275, 0.13698580861091614, 0.15140604972839355, 0.13431575894355774], [0.19126483798027039, 0.09077991545200348, 0.2136155515909195, 0.23417216539382935, 0.24174261093139648, 0.19683104753494263], [0.1509486585855484, 0.12085404992103577, 0.14286455512046814, 0.17320382595062256, 0.17247891426086426, 0.16263672709465027], [0.038945551961660385, 0.04694424197077751, 0.054399196058511734, 0.07950761169195175, 0.06843718886375427, 0.08534952998161316], [0.19921010732650757, 0.13386249542236328, 0.1832970231771469, 0.262694776058197, 0.19488131999969482, 0.19444164633750916], [0.08489234745502472, 0.07164299488067627, 0.08643347024917603, 0.14340879023075104, 0.08986853063106537, 0.08450385928153992]]"
pride,"[[0.002434633206576109, 0.7594538331031799, 0.002154356800019741, 0.010786853730678558, 0.005400625988841057, 0.0066880821250379086], [0.28092867136001587, 0.0016326846089214087, 0.4491623044013977, 0.06210643798112869, 0.032508376985788345, 0.06466040015220642], [0.03698321431875229, 0.03155308589339256, 0.01951582171022892, 0.02556491643190384, 0.010447385720908642, 0.02501167170703411], [0.03075755201280117, 0.11289505660533905, 0.023128973320126534, 0.03473382443189621, 0.0229499414563179, 0.024369951337575912], [0.006673150695860386, 0.67439204454422, 0.007564544212073088, 0.019141294062137604, 0.009746631607413292, 0.01536673866212368], [0.016153693199157715, 0.09657085686922073, 0.016041206195950508, 0.03836539015173912, 0.02994445711374283, 0.025723349303007126], [0.07077271491289139, 0.2656160891056061, 0.047704294323921204, 0.043324097990989685, 0.012462976388633251, 0.05825269967317581], [0.017523661255836487, 0.6786484718322754, 0.013949465937912464, 0.03492475673556328, 0.010281678289175034, 0.03136203810572624], [0.09651777148246765, 0.07501746714115143, 0.1302398294210434, 0.23840957880020142, 0.173369899392128, 0.14995819330215454], [0.15182353556156158, 0.1903901845216751, 0.08723600953817368, 0.0752788558602333, 0.02463236264884472, 0.1159619390964508], [0.02229480631649494, 0.048955731093883514, 0.024745214730501175, 0.020811408758163452, 0.017672527581453323, 0.022995466366410255], [0.006514586042612791, 0.2528444826602936, 0.00693284347653389, 0.016996536403894424, 0.013492745347321033, 0.0164940282702446]]","[[0.04148793965578079, 0.04177531599998474, 0.03304918855428696, 0.06480467319488525, 0.05148303136229515, 0.04308081790804863], [0.041715532541275024, 0.017327822744846344, 0.07374680042266846, 0.118205226957798, 0.10188904404640198, 0.05192546918988228], [0.07602362334728241, 0.009178431704640388, 0.056080274283885956, 0.06173955649137497, 0.07827921211719513, 0.05827292054891586], [0.005963117349892855, 0.0007233027718029916, 0.004180111922323704, 0.0021494708489626646, 0.0029935387428849936, 0.0029510846361517906], [0.13698098063468933, 0.14788994193077087, 0.12332642823457718, 0.24688586592674255, 0.213273823261261, 0.1760672926902771], [0.04347461089491844, 0.01443738117814064, 0.04916997626423836, 0.09452299773693085, 0.07685676217079163, 0.07999738305807114], [0.034297406673431396, 0.06267694383859634, 0.05235445871949196, 0.08365914225578308, 0.11995413154363632, 0.0832672268152237], [0.14793409407138824, 0.04827515035867691, 0.19374790787696838, 0.1842307299375534, 0.2111336588859558, 0.1665281355381012], [0.15842625498771667, 0.10749334841966629, 0.15414123237133026, 0.1587672233581543, 0.1705785095691681, 0.16841642558574677], [0.023039929568767548, 0.03012191690504551, 0.03102070465683937, 0.047068554908037186, 0.041935794055461884, 0.054082512855529785], [0.18485432863235474, 0.1303398609161377, 0.18530318140983582, 0.24674047529697418, 0.19241797924041748, 0.1973457634449005], [0.06995750963687897, 0.0711810290813446, 0.08870133757591248, 0.11629141867160797, 0.07210106402635574, 0.06697069108486176]]"
relief,"[[0.002006722381338477, 0.7701048851013184, 0.0041855559684336185, 0.011523811146616936, 0.004560896195471287, 0.007295842748135328], [0.26188063621520996, 0.0017568361945450306, 0.4979875683784485, 0.048735857009887695, 0.03423978015780449, 0.04613529145717621], [0.03252284228801727, 0.06026827543973923, 0.022173644974827766, 0.026359546929597855, 0.012063859030604362, 0.020115364342927933], [0.026661766692996025, 0.15147416293621063, 0.022007297724485397, 0.03657891973853111, 0.019800011068582535, 0.023602399975061417], [0.004912158474326134, 0.7109256386756897, 0.007417510729283094, 0.0191977359354496, 0.007887609302997589, 0.010628117248415947], [0.015489215962588787, 0.1089848130941391, 0.015639236196875572, 0.04270689934492111, 0.024422958493232727, 0.0244749765843153], [0.06613621860742569, 0.3497180640697479, 0.044224388897418976, 0.04474611207842827, 0.01370413787662983, 0.0415802001953125], [0.013380631804466248, 0.7385971546173096, 0.014248959720134735, 0.03803728520870209, 0.0100253876298666, 0.021687494590878487], [0.10528804361820221, 0.08831787109375, 0.14160537719726562, 0.24682466685771942, 0.14986920356750488, 0.14653968811035156], [0.12952876091003418, 0.2313205748796463, 0.0854831412434578, 0.07207727432250977, 0.028069226071238518, 0.07923001050949097], [0.023254811763763428, 0.06348025798797607, 0.025832727551460266, 0.02024777978658676, 0.017236292362213135, 0.023350443691015244], [0.007027419749647379, 0.24299168586730957, 0.007850049063563347, 0.020915959030389786, 0.012224091216921806, 0.021050909534096718]]","[[0.052261993288993835, 0.06933338940143585, 0.04867125302553177, 0.06315319240093231, 0.051854509860277176, 0.08799660205841064], [0.05817240849137306, 0.015789739787578583, 0.09237030148506165, 0.1059989333152771, 0.11515087634325027, 0.08477625250816345], [0.07590171694755554, 0.003291013650596142, 0.06226961687207222, 0.061547596007585526, 0.06347822397947311, 0.06426383554935455], [0.006718503311276436, 0.0005782200023531914, 0.0055727846920490265, 0.0023913471959531307, 0.0034389058127999306, 0.0038275420665740967], [0.1018465906381607, 0.1007843017578125, 0.08172562718391418, 0.20291012525558472, 0.1754702925682068, 0.1887378990650177], [0.04318094253540039, 0.01009107381105423, 0.040216460824012756, 0.0633557066321373, 0.06022457033395767, 0.08137330412864685], [0.04083218052983284, 0.029233258217573166, 0.06457136571407318, 0.05200672522187233, 0.08839672058820724, 0.10104170441627502], [0.1719873547554016, 0.034737225621938705, 0.19042563438415527, 0.18554797768592834, 0.20939767360687256, 0.2391156256198883], [0.11630477011203766, 0.06620395928621292, 0.12780259549617767, 0.09215543419122696, 0.14326554536819458, 0.15883708000183105], [0.018716013059020042, 0.024806831032037735, 0.033815089613199234, 0.045050621032714844, 0.05536378547549248, 0.09345106780529022], [0.21721214056015015, 0.06976377218961716, 0.17606785893440247, 0.2591545581817627, 0.20585474371910095, 0.2305956333875656], [0.05916288495063782, 0.09060697257518768, 0.06536867469549179, 0.08380182832479477, 0.055469147861003876, 0.07761704921722412]]"
guilt,"[[0.002333215903490782, 0.753684401512146, 0.0020428537391126156, 0.007530908100306988, 0.00559440441429615, 0.011821248568594456], [0.2260863482952118, 0.002441535471007228, 0.5080534815788269, 0.054837048053741455, 0.030462533235549927, 0.053532883524894714], [0.025945939123630524, 0.03481827676296234, 0.017214542254805565, 0.0186373982578516, 0.009461581707000732, 0.018227634951472282], [0.027006596326828003, 0.12636370956897736, 0.023607715964317322, 0.030109981074929237, 0.022305918857455254, 0.026900360360741615], [0.0048186518251895905, 0.6856471300125122, 0.004899898543953896, 0.011366693302989006, 0.008196225389838219, 0.01746579073369503], [0.016383929178118706, 0.09846854209899902, 0.015747439116239548, 0.03692126274108887, 0.030780307948589325, 0.02848057821393013], [0.05451294407248497, 0.2782895565032959, 0.04477294906973839, 0.030876576900482178, 0.012472020462155342, 0.046658389270305634], [0.013124862685799599, 0.7126433253288269, 0.010087909176945686, 0.02085791528224945, 0.009849709458649158, 0.027584794908761978], [0.10382646322250366, 0.07683700323104858, 0.14157336950302124, 0.21280543506145477, 0.16973160207271576, 0.15939810872077942], [0.11106718331575394, 0.2226249873638153, 0.07037974894046783, 0.05324892699718475, 0.02436881512403488, 0.08484181761741638], [0.01953994110226631, 0.050134509801864624, 0.023363864049315453, 0.020668311044573784, 0.018003512173891068, 0.02360190451145172], [0.007166669238358736, 0.2812731862068176, 0.008305894210934639, 0.020626798272132874, 0.01364549994468689, 0.024317659437656403]]","[[0.051034606993198395, 0.08069390058517456, 0.03307512402534485, 0.07596001774072647, 0.04048386961221695, 0.062256820499897], [0.04803452640771866, 0.029666123911738396, 0.07858292758464813, 0.11737166345119476, 0.10339868068695068, 0.06468752771615982], [0.1019258201122284, 0.01961393840610981, 0.08311570435762405, 0.0819544717669487, 0.090378038585186, 0.07335647940635681], [0.00899079442024231, 0.00251402729190886, 0.00807036180049181, 0.005824558436870575, 0.006538145709782839, 0.006074128672480583], [0.13539241254329681, 0.14976724982261658, 0.089327871799469, 0.23382970690727234, 0.18060044944286346, 0.18187467753887177], [0.049811117351055145, 0.020451217889785767, 0.04424964636564255, 0.10666617006063461, 0.07919487357139587, 0.08056165277957916], [0.09593208134174347, 0.1169699877500534, 0.11436580121517181, 0.13690350949764252, 0.17163197696208954, 0.14815589785575867], [0.21945878863334656, 0.10812127590179443, 0.23894618451595306, 0.24045485258102417, 0.2608068585395813, 0.22880201041698456], [0.14982378482818604, 0.09729967266321182, 0.14031070470809937, 0.1678643822669983, 0.1678624451160431, 0.16229987144470215], [0.05598826706409454, 0.055774565786123276, 0.0868883728981018, 0.09742174297571182, 0.10039038956165314, 0.11765588819980621], [0.20879977941513062, 0.11397016793489456, 0.1940016746520996, 0.2747538089752197, 0.20268774032592773, 0.2109622210264206], [0.09910926222801208, 0.0990954041481018, 0.1021840050816536, 0.16080835461616516, 0.10069216787815094, 0.1030539944767952]]"
disgust,"[[0.001044685603119433, 0.8751276731491089, 0.0010514743626117706, 0.004085685592144728, 0.005775465164333582, 0.00786928553134203], [0.2510245442390442, 0.0020153888035565615, 0.4208967387676239, 0.05409644916653633, 0.032703615725040436, 0.06014838442206383], [0.02390202321112156, 0.04657386988401413, 0.017044581472873688, 0.013231259770691395, 0.010659318417310715, 0.017817512154579163], [0.029537102207541466, 0.11399301886558533, 0.02507799118757248, 0.0322255901992321, 0.023241136223077774, 0.030171247199177742], [0.002402697689831257, 0.8289538621902466, 0.002635601907968521, 0.005823007319122553, 0.0063522919081151485, 0.011086500249803066], [0.01652475818991661, 0.1174720823764801, 0.016752898693084717, 0.038065552711486816, 0.03326360881328583, 0.029483523219823837], [0.04747215658426285, 0.3727353811264038, 0.03987788036465645, 0.023125823587179184, 0.013093143701553345, 0.03802665323019028], [0.006976589560508728, 0.828082799911499, 0.006033215206116438, 0.010893162339925766, 0.009683758020401001, 0.017551034688949585], [0.09704618155956268, 0.0881480947136879, 0.14248427748680115, 0.18764078617095947, 0.1718142032623291, 0.13627773523330688], [0.09284842759370804, 0.2957119047641754, 0.06534607708454132, 0.04656314477324486, 0.02783062681555748, 0.07914911955595016], [0.019749872386455536, 0.04044797644019127, 0.02271144464612007, 0.020640339702367783, 0.01885070838034153, 0.023012971505522728], [0.006158591713756323, 0.35062462091445923, 0.007157902233302593, 0.019479352980852127, 0.013599641621112823, 0.023245330899953842]]","[[0.03875815123319626, 0.05290564149618149, 0.026149652898311615, 0.07354484498500824, 0.03340272977948189, 0.05411102622747421], [0.032118555158376694, 0.01313383225351572, 0.051791414618492126, 0.08279401063919067, 0.06482451409101486, 0.041321221739053726], [0.06754844635725021, 0.019053205847740173, 0.04978765919804573, 0.0520443432033062, 0.06948907673358917, 0.049466557800769806], [0.008501779288053513, 0.0022221009712666273, 0.006567922420799732, 0.004278440028429031, 0.005780462175607681, 0.005229318980127573], [0.13295719027519226, 0.15118426084518433, 0.10984272509813309, 0.2266751527786255, 0.18393346667289734, 0.197932630777359], [0.042123280465602875, 0.014287961646914482, 0.044530853629112244, 0.10702615976333618, 0.08439593017101288, 0.07652575522661209], [0.04975127428770065, 0.13022834062576294, 0.06558570265769958, 0.1199466660618782, 0.12591572105884552, 0.1076684445142746], [0.16273947060108185, 0.06665275245904922, 0.18877294659614563, 0.1919638216495514, 0.20802678167819977, 0.16728851199150085], [0.16081508994102478, 0.15526919066905975, 0.14944113790988922, 0.183195099234581, 0.18741744756698608, 0.19460156559944153], [0.02708541788160801, 0.034267593175172806, 0.041968632489442825, 0.055046796798706055, 0.06122766435146332, 0.07151578366756439], [0.17581169307231903, 0.14488238096237183, 0.17356470227241516, 0.23634541034698486, 0.16964107751846313, 0.185912624001503], [0.08342675864696503, 0.06469900161027908, 0.09887625277042389, 0.14931979775428772, 0.09307590126991272, 0.0924721211194992]]"
fear,"[[0.0006034839898347855, 0.9340575933456421, 0.0005840344238094985, 0.001457904581911862, 0.0030117188580334187, 0.002782076131552458], [0.25792068243026733, 0.0018427891191095114, 0.47933006286621094, 0.05874912440776825, 0.03694270923733711, 0.05311959236860275], [0.023709993809461594, 0.0430653840303421, 0.013989845290780067, 0.013698062859475613, 0.008293474093079567, 0.014285504817962646], [0.03358156979084015, 0.1329139769077301, 0.02827802300453186, 0.033875722438097, 0.0305183082818985, 0.032923437654972076], [0.0015441819559782743, 0.8935588598251343, 0.0016152330208569765, 0.0024498356506228447, 0.004258893895894289, 0.005576263181865215], [0.0167509987950325, 0.13183055818080902, 0.018796563148498535, 0.03622261807322502, 0.038670074194669724, 0.03202841058373451], [0.05399513989686966, 0.40525442361831665, 0.037280745804309845, 0.024077951908111572, 0.011827070266008377, 0.03416211158037186], [0.005342031829059124, 0.8831454515457153, 0.004302555695176125, 0.006286732852458954, 0.006203340366482735, 0.01025758683681488], [0.090687595307827, 0.07604476064443588, 0.14467978477478027, 0.20882806181907654, 0.19477327167987823, 0.14245980978012085], [0.10505853593349457, 0.32752323150634766, 0.06360729783773422, 0.05131510645151138, 0.02749962918460369, 0.07325273007154465], [0.020537983626127243, 0.04059695824980736, 0.02474084310233593, 0.019688405096530914, 0.019946204498410225, 0.022761058062314987], [0.005369370803236961, 0.4174055755138397, 0.0064304908737540245, 0.013141226023435593, 0.013077156618237495, 0.01862555369734764]]","[[0.04065949469804764, 0.06519781798124313, 0.029583286494016647, 0.08588774502277374, 0.035003289580345154, 0.058003343641757965], [0.041306547820568085, 0.008458190597593784, 0.0708693265914917, 0.11712220311164856, 0.08342967927455902, 0.05893641337752342], [0.0921645537018776, 0.028951359912753105, 0.06608358025550842, 0.07833139598369598, 0.07641877233982086, 0.059599749743938446], [0.015032423660159111, 0.0005819787038490176, 0.009217542596161366, 0.006359690800309181, 0.007304912433028221, 0.007990933954715729], [0.15172183513641357, 0.19895392656326294, 0.12889814376831055, 0.27632999420166016, 0.2059217095375061, 0.21887394785881042], [0.054409801959991455, 0.020190740004181862, 0.06037706881761551, 0.1377086192369461, 0.09956629574298859, 0.10284300148487091], [0.0480680912733078, 0.15792572498321533, 0.06856345385313034, 0.110189288854599, 0.1295158565044403, 0.11349286139011383], [0.2152385115623474, 0.0758490115404129, 0.25638216733932495, 0.2690369188785553, 0.2510254681110382, 0.2346908152103424], [0.2061903029680252, 0.21496835350990295, 0.20760872960090637, 0.2463563233613968, 0.21782757341861725, 0.24287472665309906], [0.03298471122980118, 0.047759898006916046, 0.04835250973701477, 0.06736129522323608, 0.06316087394952774, 0.07998870313167572], [0.1909480094909668, 0.19400542974472046, 0.18227362632751465, 0.2587587833404541, 0.18976694345474243, 0.20306715369224548], [0.09981146454811096, 0.08321390300989151, 0.12038537114858627, 0.18016964197158813, 0.10583392530679703, 0.1112494021654129]]"
joy,"[[0.0013674662914127111, 0.8670814037322998, 0.001224678591825068, 0.003417877946048975, 0.0022860162425786257, 0.007869798690080643], [0.24520157277584076, 0.002105564810335636, 0.48672187328338623, 0.05931198224425316, 0.031930599361658096, 0.05865652859210968], [0.029821116477251053, 0.053901150822639465, 0.018165528774261475, 0.019667934626340866, 0.010367333889007568, 0.022532153874635696], [0.031663812696933746, 0.13329024612903595, 0.026565058156847954, 0.0348164364695549, 0.021822914481163025, 0.029465684667229652], [0.003301528748124838, 0.8285180926322937, 0.0031717000529170036, 0.004900828003883362, 0.003686605952680111, 0.010307030752301216], [0.014493309892714024, 0.1353037804365158, 0.015811774879693985, 0.03454986587166786, 0.02897796407341957, 0.027949856594204903], [0.04812692478299141, 0.394025057554245, 0.03587714582681656, 0.02607211098074913, 0.0097313541918993, 0.034209322184324265], [0.007315628696233034, 0.8312907218933105, 0.006022343877702951, 0.009493624791502953, 0.004621847532689571, 0.012425297871232033], [0.09969275444746017, 0.08102680742740631, 0.14351020753383636, 0.2104380875825882, 0.16243283450603485, 0.13976699113845825], [0.10169854760169983, 0.3264411985874176, 0.06553327292203903, 0.05415792390704155, 0.02286726050078869, 0.08238761872053146], [0.020784327760338783, 0.04762163385748863, 0.0240451842546463, 0.021334614604711533, 0.0180803295224905, 0.023814164102077484], [0.006579875946044922, 0.37599095702171326, 0.007933593355119228, 0.017938831821084023, 0.013128656893968582, 0.022275198251008987]]","[[0.038430482149124146, 0.06156303733587265, 0.028634775429964066, 0.08346747606992722, 0.033430226147174835, 0.049500420689582825], [0.030813738703727722, 0.01691729947924614, 0.06346110254526138, 0.08743058145046234, 0.07575014978647232, 0.04608418047428131], [0.06205745413899422, 0.027406413108110428, 0.04934052377939224, 0.04833231866359711, 0.06521740555763245, 0.046576742082834244], [0.009986137971282005, 0.0006925971829332411, 0.007705067750066519, 0.005660806782543659, 0.007318668533116579, 0.005334815010428429], [0.12670212984085083, 0.16202470660209656, 0.11512269824743271, 0.23300142586231232, 0.20200125873088837, 0.1826363205909729], [0.03720686957240105, 0.01771482825279236, 0.051369763910770416, 0.09347912669181824, 0.09387721121311188, 0.06552869081497192], [0.06895847618579865, 0.1609053611755371, 0.09934568405151367, 0.14308902621269226, 0.16231417655944824, 0.1259811520576477], [0.16315343976020813, 0.08979886025190353, 0.20758123695850372, 0.20665501058101654, 0.2358768731355667, 0.16825003921985626], [0.15240541100502014, 0.13270694017410278, 0.1520249843597412, 0.17287154495716095, 0.18577535450458527, 0.17520609498023987], [0.028318306431174278, 0.04633047804236412, 0.04683973640203476, 0.05371221899986267, 0.06980837136507034, 0.062366072088479996], [0.17828033864498138, 0.13748571276664734, 0.17510123550891876, 0.2331295609474182, 0.1888284683227539, 0.17382848262786865], [0.07423453778028488, 0.047720298171043396, 0.08873516321182251, 0.11869475245475769, 0.09081093221902847, 0.0753026008605957]]"
