predict_event,pleasantness,attention,other_responsblt,chance_control,social_norms,% Total Attn
0.002006722381338477,0.7701048851013184,0.0041855559684336185,0.011523811146616936,0.004560896195471287,0.007295842748135328,12.26042437601832
0.26188063621520996,0.0017568361945450306,0.4979875683784485,0.048735857009887695,0.03423978015780449,0.04613529145717621,13.656502872421402
0.03252284228801727,0.06026827543973923,0.022173644974827766,0.026359546929597855,0.012063859030604362,0.020115364342927933,2.6601053266425194
0.026661766692996025,0.15147416293621063,0.022007297724485397,0.03657891973853111,0.019800011068582535,0.023602399975061417,4.29478764098746
0.004912158474326134,0.7109256386756897,0.007417510729283094,0.0191977359354496,0.007887609302997589,0.010628117248415947,11.666950202062838
0.015489215962588787,0.1089848130941391,0.015639236196875572,0.04270689934492111,0.024422958493232727,0.0244749765843153,3.5526340043317832
0.06613621860742569,0.3497180640697479,0.044224388897418976,0.04474611207842827,0.01370413787662983,0.0415802001953125,8.587428926606155
0.013380631804466248,0.7385971546173096,0.014248959720134735,0.03803728520870209,0.0100253876298666,0.021687494590878487,12.816953074195325
0.10528804361820221,0.08831787109375,0.14160537719726562,0.24682466685771942,0.14986920356750488,0.14653968811035156,13.468059038042327
0.12952876091003418,0.2313205748796463,0.0854831412434578,0.07207727432250977,0.028069226071238518,0.07923001050949097,9.593186852759006
0.023254811763763428,0.06348025798797607,0.025832727551460266,0.02024777978658676,0.017236292362213135,0.023350443691015244,2.658553453367869
0.007027419749647379,0.24299168586730957,0.007850049063563347,0.020915959030389786,0.012224091216921806,0.021050909534096718,4.784414232564996
0.057340769039001316,0.29316168499644846,0.07405462147047122,0.052329320615778364,0.027841954414422315,0.0388075615822648,8.333333333333332
