predict_event,pleasantness,attention,other_responsblt,chance_control,social_norms,% Total Attn
0.0006034839898347855,0.9340575933456421,0.0005840344238094985,0.001457904581911862,0.0030117188580334187,0.002782076131552458,13.401019229064984
0.25792068243026733,0.0018427891191095114,0.47933006286621094,0.05874912440776825,0.03694270923733711,0.05311959236860275,12.624797564560772
0.023709993809461594,0.0430653840303421,0.013989845290780067,0.013698062859475613,0.008293474093079567,0.014285504817962646,1.6641813783309398
0.03358156979084015,0.1329139769077301,0.02827802300453186,0.033875722438097,0.0305183082818985,0.032923437654972076,4.153136191935585
0.0015441819559782743,0.8935588598251343,0.0016152330208569765,0.0024498356506228447,0.004258893895894289,0.005576263181865215,12.924786716526974
0.0167509987950325,0.13183055818080902,0.018796563148498535,0.03622261807322502,0.038670074194669724,0.03202841058373451,3.9001608466221507
0.05399513989686966,0.40525442361831665,0.037280745804309845,0.024077951908111572,0.011827070266008377,0.03416211158037186,8.056242884315381
0.005342031829059124,0.8831454515457153,0.004302555695176125,0.006286732852458954,0.006203340366482735,0.01025758683681488,13.017697421802168
0.090687595307827,0.07604476064443588,0.14467978477478027,0.20882806181907654,0.19477327167987823,0.14245980978012085,12.19210063018722
0.10505853593349457,0.32752323150634766,0.06360729783773422,0.05131510645151138,0.02749962918460369,0.07325273007154465,9.21732374333855
0.020537983626127243,0.04059695824980736,0.02474084310233593,0.019688405096530914,0.019946204498410225,0.022761058062314987,2.1082178358614367
0.005369370803236961,0.4174055755138397,0.0064304908737540245,0.013141226023435593,0.013077156618237495,0.01862555369734764,6.74033555745384
0.051258464014002435,0.3572699635406025,0.06863628998689819,0.03914922934685213,0.03291848759787778,0.03685284456393371,8.333333333333332
