predict_event,pleasantness,attention,other_responsblt,chance_control,social_norms,% Total Attn
0.002434633206576109,0.7594538331031799,0.002154356800019741,0.010786853730678558,0.005400625988841057,0.0066880821250379086,12.498860610025801
0.28092867136001587,0.0016326846089214087,0.4491623044013977,0.06210643798112869,0.032508376985788345,0.06466040015220642,14.152002242365644
0.03698321431875229,0.03155308589339256,0.01951582171022892,0.02556491643190384,0.010447385720908642,0.02501167170703411,2.3678203192278424
0.03075755201280117,0.11289505660533905,0.023128973320126534,0.03473382443189621,0.0229499414563179,0.024369951337575912,3.9523256522798174
0.006673150695860386,0.67439204454422,0.007564544212073088,0.019141294062137604,0.009746631607413292,0.01536673866212368,11.640622688828806
0.016153693199157715,0.09657085686922073,0.016041206195950508,0.03836539015173912,0.02994445711374283,0.025723349303007126,3.538782558344612
0.07077271491289139,0.2656160891056061,0.047704294323921204,0.043324097990989685,0.012462976388633251,0.05825269967317581,7.911993742147613
0.017523661255836487,0.6786484718322754,0.013949465937912464,0.03492475673556328,0.010281678289175034,0.03136203810572624,12.495234249414201
0.09651777148246765,0.07501746714115143,0.1302398294210434,0.23840957880020142,0.173369899392128,0.14995819330215454,13.715431705293865
0.15182353556156158,0.1903901845216751,0.08723600953817368,0.0752788558602333,0.02463236264884472,0.1159619390964508,10.24985687223077
0.02229480631649494,0.048955731093883514,0.024745214730501175,0.020811408758163452,0.017672527581453323,0.022995466366410255,2.501225092215806
0.006514586042612791,0.2528444826602936,0.00693284347653389,0.016996536403894424,0.013492745347321033,0.0164940282702446,4.9758442676252175
0.06161483253041903,0.2656641656649299,0.06903123867232352,0.05170366261154413,0.03024246737671395,0.04640371317509562,8.333333333333332
