predict_event,pleasantness,attention,other_responsblt,chance_control,social_norms,% Total Attn
0.0013674662914127111,0.8670814037322998,0.001224678591825068,0.003417877946048975,0.0022860162425786257,0.007869798690080643,12.952891793129847
0.24520157277584076,0.002105564810335636,0.48672187328338623,0.05931198224425316,0.031930599361658096,0.05865652859210968,12.962876946802874
0.029821116477251053,0.053901150822639465,0.018165528774261475,0.019667934626340866,0.010367333889007568,0.022532153874635696,2.265098194097468
0.031663812696933746,0.13329024612903595,0.026565058156847954,0.0348164364695549,0.021822914481163025,0.029465684667229652,4.071380513697882
0.003301528748124838,0.8285180926322937,0.0031717000529170036,0.004900828003883362,0.003686605952680111,0.010307030752301216,12.52230369027831
0.014493309892714024,0.1353037804365158,0.015811774879693985,0.03454986587166786,0.02897796407341957,0.027949856594204903,3.77019494635491
0.04812692478299141,0.394025057554245,0.03587714582681656,0.02607211098074913,0.0097313541918993,0.034209322184324265,8.03707874347174
0.007315628696233034,0.8312907218933105,0.006022343877702951,0.009493624791502953,0.004621847532689571,0.012425297871232033,12.775770225066646
0.09969275444746017,0.08102680742740631,0.14351020753383636,0.2104380875825882,0.16243283450603485,0.13976699113845825,12.272731834418371
0.10169854760169983,0.3264411985874176,0.06553327292203903,0.05415792390704155,0.02286726050078869,0.08238761872053146,9.577556079070781
0.020784327760338783,0.04762163385748863,0.0240451842546463,0.021334614604711533,0.0180803295224905,0.023814164102077484,2.283063440193157
0.006579875946044922,0.37599095702171326,0.007933593355119228,0.017938831821084023,0.013128656893968582,0.022275198251008987,6.509053593418017
0.05083723884308711,0.3397163845753918,0.06954853012575768,0.041341676570785545,0.02749447642903154,0.039304970453182854,8.333333333333332
