emotion_label,cls_to_appraisals_avg,appraisals_to_cls_avg
anger,"[[0.00808984786272049, 0.8203578591346741, 0.02815847098827362, 0.007665697019547224, 0.004804081749171019, 0.01602150686085224], [0.14239151775836945, 0.003720889100804925, 0.19691796600818634, 0.2527652680873871, 0.15516360104084015, 0.14337603747844696], [0.026730336248874664, 0.09563326835632324, 0.021930648013949394, 0.028977470472455025, 0.0217228215187788, 0.029240308329463005], [0.023992950096726418, 0.12089747935533524, 0.028582580387592316, 0.026143550872802734, 0.020624997094273567, 0.026164166629314423], [0.007719267159700394, 0.8228325247764587, 0.029014350846409798, 0.007853676564991474, 0.006016730796545744, 0.02362145483493805], [0.031567275524139404, 0.12267479300498962, 0.04001981019973755, 0.03176797181367874, 0.025640295818448067, 0.03498922288417816], [0.05370501056313515, 0.4719705581665039, 0.06805460900068283, 0.06225520372390747, 0.037653710693120956, 0.07858865708112717], [0.0114716412499547, 0.8731591105461121, 0.029169976711273193, 0.007676444482058287, 0.0061626131646335125, 0.022233126685023308], [0.12493609637022018, 0.08711415529251099, 0.14457982778549194, 0.2859983742237091, 0.09587765485048294, 0.12980158627033234], [0.08799922466278076, 0.3703882694244385, 0.09393637627363205, 0.08793999999761581, 0.05550389364361763, 0.12111850827932358], [0.021259956061840057, 0.05498041212558746, 0.03756576403975487, 0.019581185653805733, 0.02153194509446621, 0.0311875119805336], [0.015191386453807354, 0.29066702723503113, 0.033284179866313934, 0.013066730462014675, 0.011989503167569637, 0.022025609388947487]]","[[0.15564092993736267, 0.07070830464363098, 0.08560726791620255, 0.1318274438381195, 0.1516485959291458, 0.10714796185493469], [0.04573191702365875, 0.01539474818855524, 0.057109639048576355, 0.059705983847379684, 0.0397702120244503, 0.02451169490814209], [0.10276351124048233, 0.04551779106259346, 0.07594562321901321, 0.0720377191901207, 0.09728904813528061, 0.08379074186086655], [0.003514239564538002, 0.0012161702616140246, 0.0037074091378599405, 0.0023241539020091295, 0.003618215909227729, 0.0025188482832163572], [0.19964836537837982, 0.18407492339611053, 0.13393846154212952, 0.17420601844787598, 0.1860300749540329, 0.16797775030136108], [0.08363886922597885, 0.032261017709970474, 0.05246517062187195, 0.06012363359332085, 0.06379837542772293, 0.054971590638160706], [0.0775885283946991, 0.09446423500776291, 0.10802317410707474, 0.06468131393194199, 0.09556252509355545, 0.06725839525461197], [0.17927344143390656, 0.06608568131923676, 0.1747836470603943, 0.15976381301879883, 0.17163188755512238, 0.1521902084350586], [0.20368529856204987, 0.09463316202163696, 0.1300111562013626, 0.14920015633106232, 0.21724502742290497, 0.17685328423976898], [0.016618618741631508, 0.02473863959312439, 0.02853955514729023, 0.012224490754306316, 0.014532443135976791, 0.021647736430168152], [0.17726172506809235, 0.12485453486442566, 0.11367589235305786, 0.1713099330663681, 0.15498146414756775, 0.13251836597919464], [0.0453370064496994, 0.03688320890069008, 0.03878704458475113, 0.049195971339941025, 0.03770536556839943, 0.031493257731199265]]"
boredom,"[[0.004958333447575569, 0.8645046353340149, 0.019404320046305656, 0.004401920363306999, 0.0030025304295122623, 0.008950027637183666], [0.13400238752365112, 0.0031408106442540884, 0.19734477996826172, 0.2521764636039734, 0.1508583426475525, 0.15820759534835815], [0.018105119466781616, 0.09366799145936966, 0.016875095665454865, 0.022277791053056717, 0.015308087691664696, 0.022717610001564026], [0.023012924939393997, 0.12117798626422882, 0.027824200689792633, 0.025561805814504623, 0.020490676164627075, 0.02478928305208683], [0.004410519264638424, 0.8664271831512451, 0.021103739738464355, 0.004148073494434357, 0.003573852125555277, 0.01193205825984478], [0.029593199491500854, 0.12415643036365509, 0.03806856647133827, 0.031385816633701324, 0.024477139115333557, 0.030466554686427116], [0.040237683802843094, 0.4895995259284973, 0.05972221493721008, 0.056740112602710724, 0.03288924694061279, 0.06260618567466736], [0.006916648708283901, 0.89924556016922, 0.02193552628159523, 0.005455696024000645, 0.0045366957783699036, 0.013067802414298058], [0.12105081975460052, 0.07373557984828949, 0.1509188711643219, 0.29834187030792236, 0.09842526167631149, 0.11964021623134613], [0.06794799119234085, 0.398624986410141, 0.09025239944458008, 0.08011864870786667, 0.04787471890449524, 0.0974363312125206], [0.020741602405905724, 0.05711918696761131, 0.036206409335136414, 0.019605403766036034, 0.02105269394814968, 0.03039069101214409], [0.01476757600903511, 0.3303898572921753, 0.03194674104452133, 0.012582306750118732, 0.01198753621429205, 0.018354065716266632]]","[[0.14473389089107513, 0.07286787033081055, 0.07280538976192474, 0.11505187302827835, 0.13010361790657043, 0.10298117995262146], [0.05342286452651024, 0.010795112699270248, 0.05229125916957855, 0.06322521716356277, 0.04174737259745598, 0.026072509586811066], [0.12223323434591293, 0.05337163805961609, 0.08627595007419586, 0.08428871631622314, 0.11399734765291214, 0.10116294771432877], [0.005283035803586245, 0.0017041864339262247, 0.0030389553867280483, 0.002435880247503519, 0.00418999744579196, 0.003659497946500778], [0.2044915109872818, 0.21500533819198608, 0.13415184617042542, 0.16903245449066162, 0.17476323246955872, 0.1672101616859436], [0.11069867759943008, 0.03601619228720665, 0.060595955699682236, 0.06916029006242752, 0.0762026458978653, 0.07319353520870209], [0.10086946189403534, 0.13793574273586273, 0.11722736805677414, 0.08083713054656982, 0.11268548667430878, 0.09182781726121902], [0.2240435630083084, 0.09461979568004608, 0.19933997094631195, 0.1922159343957901, 0.20473676919937134, 0.18901143968105316], [0.2174074500799179, 0.1139589473605156, 0.1306033432483673, 0.15851931273937225, 0.22217579185962677, 0.19600024819374084], [0.022799748927354813, 0.03405464440584183, 0.02973942644894123, 0.015110040083527565, 0.019399002194404602, 0.02819405309855938], [0.1833469271659851, 0.1394822597503662, 0.10440625995397568, 0.17728695273399353, 0.1544899344444275, 0.13605183362960815], [0.0560317188501358, 0.046000562608242035, 0.040640730410814285, 0.05661638826131821, 0.041830744594335556, 0.037795357406139374]]"
pride,"[[0.00563064543530345, 0.832189679145813, 0.01933162286877632, 0.005067963153123856, 0.0038277888670563698, 0.008434622548520565], [0.15393024682998657, 0.002177260350435972, 0.18058040738105774, 0.25357314944267273, 0.15900804102420807, 0.1606927216053009], [0.02496548555791378, 0.0721464604139328, 0.019174901768565178, 0.02635115571320057, 0.01929093338549137, 0.0287940576672554], [0.02519308030605316, 0.10773220658302307, 0.02879907190799713, 0.028571639209985733, 0.022029010578989983, 0.02708493545651436], [0.006020997650921345, 0.8361527919769287, 0.022270359098911285, 0.006305219139903784, 0.0057374159805476665, 0.013907670974731445], [0.032144688069820404, 0.10693658888339996, 0.04010998457670212, 0.03220254182815552, 0.025764554738998413, 0.03122202679514885], [0.048779770731925964, 0.45950835943222046, 0.06286998093128204, 0.0612504705786705, 0.038568489253520966, 0.07017809897661209], [0.0069334665313363075, 0.8938950896263123, 0.02101615071296692, 0.0054901642724871635, 0.005235906690359116, 0.012258892878890038], [0.13343888521194458, 0.07641594111919403, 0.13796347379684448, 0.30259132385253906, 0.10488592088222504, 0.12352533638477325], [0.09142902493476868, 0.34094056487083435, 0.10068802535533905, 0.10019372403621674, 0.06042597442865372, 0.11530959606170654], [0.019840920343995094, 0.04753503203392029, 0.0372924767434597, 0.018912315368652344, 0.01898699626326561, 0.02843082696199417], [0.014533169567584991, 0.27264273166656494, 0.03189310431480408, 0.012124595232307911, 0.011859539896249771, 0.018289122730493546]]","[[0.15768952667713165, 0.0540148988366127, 0.07411381602287292, 0.1358318030834198, 0.14313550293445587, 0.09575895965099335], [0.05392018333077431, 0.014831900596618652, 0.07356639206409454, 0.06836821138858795, 0.04378107562661171, 0.02659057080745697], [0.10368534922599792, 0.03755641728639603, 0.0648258775472641, 0.07116197049617767, 0.10222021490335464, 0.08329766988754272], [0.0027668694965541363, 0.0005311865825206041, 0.003579402808099985, 0.0019507583929225802, 0.0027541692834347486, 0.0018048097845166922], [0.22617655992507935, 0.21052134037017822, 0.1558932363986969, 0.19353093206882477, 0.20706427097320557, 0.18183158338069916], [0.11927174031734467, 0.03375471383333206, 0.061973124742507935, 0.09050673246383667, 0.08808621764183044, 0.08380017429590225], [0.06935159862041473, 0.09787976741790771, 0.0888492614030838, 0.05107314884662628, 0.0848664864897728, 0.061563633382320404], [0.1890016496181488, 0.04896778613328934, 0.14385637640953064, 0.15957367420196533, 0.16463111340999603, 0.1509178876876831], [0.2231459617614746, 0.0895623043179512, 0.13425877690315247, 0.1677139550447464, 0.23251405358314514, 0.19427600502967834], [0.017103461548686028, 0.01716991513967514, 0.02278565615415573, 0.013873152434825897, 0.01789616048336029, 0.023105589672923088], [0.19849622249603271, 0.16614872217178345, 0.11984366178512573, 0.19490501284599304, 0.1612498164176941, 0.1408407837152481], [0.05227721482515335, 0.05560293048620224, 0.04419805109500885, 0.06219566613435745, 0.03984798491001129, 0.03167895972728729]]"
relief,"[[0.005751026328653097, 0.8548616766929626, 0.020608121529221535, 0.006289985030889511, 0.0034496940206736326, 0.007695167791098356], [0.1422709971666336, 0.002919272053986788, 0.2106803059577942, 0.23200124502182007, 0.16498306393623352, 0.15312065184116364], [0.020519625395536423, 0.12217250466346741, 0.022298581898212433, 0.022849611937999725, 0.01637532375752926, 0.022609151899814606], [0.022708799690008163, 0.12415474653244019, 0.028008289635181427, 0.02531006745994091, 0.01917182095348835, 0.023044753819704056], [0.005883693695068359, 0.8414807319641113, 0.026748843491077423, 0.007217839360237122, 0.0042318678461015224, 0.012042893096804619], [0.03323078528046608, 0.1275268942117691, 0.03801500424742699, 0.031079281121492386, 0.0236734040081501, 0.02981511875987053], [0.04581310227513313, 0.5558027625083923, 0.06811583042144775, 0.055206336081027985, 0.03292008861899376, 0.0556425005197525], [0.006548420526087284, 0.9093011617660522, 0.02723313495516777, 0.005677489098161459, 0.0035824673250317574, 0.010152884759008884], [0.1253548562526703, 0.09898445010185242, 0.16224363446235657, 0.2860460877418518, 0.0881728082895279, 0.11750275641679764], [0.07835382968187332, 0.4236830472946167, 0.1020888090133667, 0.0823412761092186, 0.04661695286631584, 0.09654189646244049], [0.020623108372092247, 0.05007988214492798, 0.03904912248253822, 0.021107006818056107, 0.021735120564699173, 0.0293102003633976], [0.016147363930940628, 0.29395776987075806, 0.026727743446826935, 0.013186758384108543, 0.011586824432015419, 0.01719292625784874]]","[[0.23412683606147766, 0.11476729065179825, 0.12933413684368134, 0.19385096430778503, 0.2411998212337494, 0.20941276848316193], [0.07306304574012756, 0.012422187253832817, 0.059389110654592514, 0.0858544111251831, 0.062350645661354065, 0.03497326374053955], [0.13054785132408142, 0.04123586416244507, 0.0870165154337883, 0.0946476012468338, 0.1282237023115158, 0.11829142272472382], [0.0038530249148607254, 0.0009509774390608072, 0.002280015964061022, 0.0024471809156239033, 0.0034879068844020367, 0.0025422449689358473], [0.21913939714431763, 0.17784002423286438, 0.13413293659687042, 0.1934749335050583, 0.20122697949409485, 0.20827558636665344], [0.10699475556612015, 0.048548027873039246, 0.039137572050094604, 0.061765335500240326, 0.067800372838974, 0.06716199964284897], [0.07108034193515778, 0.03735172376036644, 0.09630830585956573, 0.05980661138892174, 0.08720612525939941, 0.06910672783851624], [0.19570940732955933, 0.030238397419452667, 0.17361503839492798, 0.17315450310707092, 0.1891149878501892, 0.21076837182044983], [0.25472140312194824, 0.10463014245033264, 0.146371990442276, 0.17171765863895416, 0.2614568769931793, 0.2229694128036499], [0.013671432621777058, 0.03004271909594536, 0.021399468183517456, 0.008827266283333302, 0.013333856128156185, 0.027307827025651932], [0.2461106777191162, 0.15041786432266235, 0.1530686914920807, 0.21811681985855103, 0.21317940950393677, 0.19296637177467346], [0.040688157081604004, 0.06525681912899017, 0.024837352335453033, 0.0448983758687973, 0.03961396589875221, 0.033432986587285995]]"
guilt,"[[0.008156826719641685, 0.8290100693702698, 0.022420383989810944, 0.005073223728686571, 0.0037133186124265194, 0.011082743294537067], [0.1261177957057953, 0.0038412343710660934, 0.20233462750911713, 0.25858765840530396, 0.15754041075706482, 0.14707505702972412], [0.020281540229916573, 0.08723987638950348, 0.01828039065003395, 0.023073013871908188, 0.016202863305807114, 0.024922523647546768], [0.02186420187354088, 0.11532797664403915, 0.027920745313167572, 0.02409285120666027, 0.01828252710402012, 0.02329232543706894], [0.0071187373250722885, 0.8277426362037659, 0.02321850135922432, 0.005024957936257124, 0.004452281631529331, 0.015589912422001362], [0.03132867440581322, 0.11583903431892395, 0.03885430842638016, 0.03035244345664978, 0.023948457092046738, 0.03194655105471611], [0.047334007918834686, 0.4867902398109436, 0.06497807800769806, 0.05753014236688614, 0.032924454659223557, 0.06656555831432343], [0.011329200118780136, 0.8855734467506409, 0.02272186055779457, 0.006288834381848574, 0.00473172077909112, 0.01638716645538807], [0.12263611704111099, 0.07683472335338593, 0.15260395407676697, 0.29434773325920105, 0.09648777544498444, 0.12749364972114563], [0.07440227270126343, 0.3962770700454712, 0.09414006769657135, 0.07855783402919769, 0.046012625098228455, 0.10117699950933456], [0.021283747628331184, 0.05273651331663132, 0.03640303015708923, 0.01892298460006714, 0.02015651948750019, 0.028897203505039215], [0.015948614105582237, 0.31196674704551697, 0.03519894927740097, 0.012586086988449097, 0.011795775964856148, 0.019356200471520424]]","[[0.15976525843143463, 0.0825309306383133, 0.0778995007276535, 0.1342630386352539, 0.14889422059059143, 0.12251181900501251], [0.061749182641506195, 0.018720731139183044, 0.06206361949443817, 0.07382216304540634, 0.055488571524620056, 0.03082839399576187], [0.13768936693668365, 0.04884486272931099, 0.09176696836948395, 0.09742716699838638, 0.1266498565673828, 0.11706769466400146], [0.005786959081888199, 0.0017339111072942615, 0.0033936614636331797, 0.003080470720306039, 0.005704948678612709, 0.0040617045015096664], [0.212875634431839, 0.20524239540100098, 0.1285061538219452, 0.17345842719078064, 0.18473292887210846, 0.17681828141212463], [0.10554817318916321, 0.035233862698078156, 0.05619121715426445, 0.07253661751747131, 0.07575023174285889, 0.06922490894794464], [0.12155988067388535, 0.12085841596126556, 0.11788836121559143, 0.09265901893377304, 0.12457099556922913, 0.0916205644607544], [0.2302558571100235, 0.09808190166950226, 0.2010926455259323, 0.20219698548316956, 0.2198488712310791, 0.20607826113700867], [0.22349147498607635, 0.09961118549108505, 0.1302255094051361, 0.16586339473724365, 0.2345188856124878, 0.20398221909999847], [0.03721952810883522, 0.03043455444276333, 0.04106885939836502, 0.026477836072444916, 0.030361570417881012, 0.0409746952354908], [0.19678212702274323, 0.12496696412563324, 0.11505776643753052, 0.2002212107181549, 0.1813177466392517, 0.15288054943084717], [0.06776101142168045, 0.05186811089515686, 0.04451482743024826, 0.0692979022860527, 0.050219785422086716, 0.045934390276670456]]"
disgust,"[[0.003512677038088441, 0.9019416570663452, 0.012044483795762062, 0.003807865548878908, 0.006042542867362499, 0.006088638212531805], [0.1496598720550537, 0.001982335466891527, 0.1763036549091339, 0.2524797320365906, 0.13523949682712555, 0.15176750719547272], [0.014530113898217678, 0.09496893733739853, 0.014257499948143959, 0.01805642992258072, 0.015149561688303947, 0.01993372291326523], [0.02246151491999626, 0.12220533937215805, 0.028219593688845634, 0.026767775416374207, 0.021537112072110176, 0.025378528982400894], [0.0035699945874512196, 0.8904474973678589, 0.014350762590765953, 0.003916583955287933, 0.009302562102675438, 0.008513721637427807], [0.02759874239563942, 0.12774823606014252, 0.03539196401834488, 0.03166037052869797, 0.02604038082063198, 0.027335267513990402], [0.03828570619225502, 0.4867866635322571, 0.05082445219159126, 0.05652301758527756, 0.04041069746017456, 0.056658241897821426], [0.007009974215179682, 0.8912877440452576, 0.0183500237762928, 0.006301332265138626, 0.012794206850230694, 0.01384590845555067], [0.11619154363870621, 0.072389617562294, 0.15027758479118347, 0.2910210192203522, 0.096002958714962, 0.10962318629026413], [0.0634894147515297, 0.380014568567276, 0.08187500387430191, 0.08885972201824188, 0.05851496011018753, 0.09200799465179443], [0.019703922793269157, 0.046572763472795486, 0.030975837260484695, 0.019041690975427628, 0.021566424518823624, 0.028280463069677353], [0.012648740783333778, 0.3436289429664612, 0.026483945548534393, 0.012209075503051281, 0.012274479493498802, 0.016141511499881744]]","[[0.13426423072814941, 0.05983934924006462, 0.0707358568906784, 0.10105206072330475, 0.10858269780874252, 0.10052909702062607], [0.050018057227134705, 0.010129491798579693, 0.0534619465470314, 0.06099410727620125, 0.03806164115667343, 0.02848885767161846], [0.1051316112279892, 0.04627104103565216, 0.07881566882133484, 0.0734894797205925, 0.1035049557685852, 0.09061005711555481], [0.003912620712071657, 0.0007032741559669375, 0.0032879107166081667, 0.0019571424927562475, 0.004380358848720789, 0.002855642233043909], [0.19080571830272675, 0.20331424474716187, 0.13886520266532898, 0.15337783098220825, 0.16262032091617584, 0.1691810041666031], [0.09566377103328705, 0.02972922846674919, 0.05480845645070076, 0.057347945868968964, 0.06481750309467316, 0.06835966557264328], [0.088494673371315, 0.144164577126503, 0.11469679325819016, 0.06350630521774292, 0.0952383428812027, 0.07708217203617096], [0.20017066597938538, 0.06784342974424362, 0.18043865263462067, 0.15845772624015808, 0.17687758803367615, 0.1617162972688675], [0.1979508399963379, 0.12834832072257996, 0.126087486743927, 0.13958938419818878, 0.19489604234695435, 0.1877116560935974], [0.02327384427189827, 0.02660408243536949, 0.032259028404951096, 0.013918634504079819, 0.020041780546307564, 0.029697775840759277], [0.1555270254611969, 0.13960351049900055, 0.10174970328807831, 0.15971896052360535, 0.12933096289634705, 0.1234489232301712], [0.054053351283073425, 0.04109469801187515, 0.05696389079093933, 0.051886919885873795, 0.04111229255795479, 0.040498457849025726]]"
fear,"[[0.002504118252545595, 0.9318197965621948, 0.0061619640327990055, 0.0017617314588278532, 0.00207237689755857, 0.0034528609830886126], [0.13521626591682434, 0.0017537048552185297, 0.21514162421226501, 0.24339379370212555, 0.14648817479610443, 0.17264553904533386], [0.011983558535575867, 0.07706326246261597, 0.01155437994748354, 0.015517961233854294, 0.011234315112233162, 0.02091795578598976], [0.023427529260516167, 0.13228362798690796, 0.029353167861700058, 0.027989007532596588, 0.023480191826820374, 0.0279581006616354], [0.002837363164871931, 0.914656937122345, 0.007936796173453331, 0.002243899740278721, 0.0032640821300446987, 0.004644419066607952], [0.03025326132774353, 0.14646217226982117, 0.03827252984046936, 0.03379067778587341, 0.02724573016166687, 0.027790015563368797], [0.03743905574083328, 0.4844982326030731, 0.050151318311691284, 0.05650585889816284, 0.032733071595430374, 0.06074334681034088], [0.006340540014207363, 0.9105242490768433, 0.011442475020885468, 0.005212293937802315, 0.004785553086549044, 0.008387883193790913], [0.1342298984527588, 0.06098322197794914, 0.15838530659675598, 0.30705100297927856, 0.10522022098302841, 0.1067078486084938], [0.06674237549304962, 0.3854129910469055, 0.08446276187896729, 0.08575901389122009, 0.05049842968583107, 0.09520615637302399], [0.020659666508436203, 0.04840061813592911, 0.03807152062654495, 0.0216980017721653, 0.022845733910799026, 0.030950471758842468], [0.012992876581847668, 0.40800195932388306, 0.02885553613305092, 0.010850994847714901, 0.011087991297245026, 0.014255511574447155]]","[[0.15414224565029144, 0.0636061429977417, 0.07533702254295349, 0.11553860455751419, 0.1268007457256317, 0.11557064950466156], [0.06373078376054764, 0.007884480990469456, 0.06262838840484619, 0.0753927156329155, 0.04381890222430229, 0.03233567625284195], [0.12660790979862213, 0.06221058964729309, 0.08468236774206161, 0.08339384198188782, 0.11896806955337524, 0.09686130285263062], [0.005958396941423416, 0.0014395929174497724, 0.00345023674890399, 0.003158657345920801, 0.004606650210916996, 0.005333417095243931], [0.26019200682640076, 0.2761642336845398, 0.18048638105392456, 0.2116587609052658, 0.22062230110168457, 0.220374196767807], [0.1468224823474884, 0.03743533045053482, 0.08822761476039886, 0.0839175432920456, 0.09848243743181229, 0.10415879637002945], [0.08971884101629257, 0.17994731664657593, 0.12546849250793457, 0.06207757443189621, 0.0959901362657547, 0.06811545789241791], [0.26120680570602417, 0.0703980103135109, 0.23076839745044708, 0.21463607251644135, 0.21952125430107117, 0.20699085295200348], [0.27419567108154297, 0.19357819855213165, 0.17596325278282166, 0.20407554507255554, 0.26702991127967834, 0.2508636713027954], [0.028002576902508736, 0.04406152665615082, 0.03790070489048958, 0.015141242183744907, 0.023225076496601105, 0.03185512125492096], [0.18893080949783325, 0.1919420063495636, 0.10177665203809738, 0.18854713439941406, 0.15757165849208832, 0.13907423615455627], [0.0694015771150589, 0.046330925077199936, 0.06525800377130508, 0.06329311430454254, 0.048170555382966995, 0.05219075828790665]]"
joy,"[[0.004443238489329815, 0.890363872051239, 0.012473225593566895, 0.0051895566284656525, 0.0028384525794535875, 0.00689913984388113], [0.14689801633358002, 0.002428201027214527, 0.19369949400424957, 0.2579610347747803, 0.15243670344352722, 0.15107271075248718], [0.018785595893859863, 0.12851089239120483, 0.01486760750412941, 0.022092128172516823, 0.016406701877713203, 0.02617255225777626], [0.02230718359351158, 0.14988742768764496, 0.02802933380007744, 0.026663191616535187, 0.02033771015703678, 0.024722063913941383], [0.004177186172455549, 0.8924770355224609, 0.016800878569483757, 0.004827252589166164, 0.003443996189162135, 0.009932865388691425], [0.025000957772135735, 0.1530282199382782, 0.03366132825613022, 0.02882462553679943, 0.02206265553832054, 0.02513466402888298], [0.03970300778746605, 0.5444648265838623, 0.047376133501529694, 0.05075911805033684, 0.03253376856446266, 0.05452045798301697], [0.00705469585955143, 0.9134576320648193, 0.018850408494472504, 0.005458751227706671, 0.004997961688786745, 0.011626564897596836], [0.1258607804775238, 0.07513998448848724, 0.15029102563858032, 0.29001057147979736, 0.09930354356765747, 0.11029283702373505], [0.06993754953145981, 0.4363601803779602, 0.07819230854511261, 0.08166487514972687, 0.050768885761499405, 0.08970006555318832], [0.01924837939441204, 0.05607264116406441, 0.03338673710823059, 0.019092224538326263, 0.02013159729540348, 0.028258128091692924], [0.01310914196074009, 0.3687390685081482, 0.032010845839977264, 0.013048571534454823, 0.010909327305853367, 0.016562849283218384]]","[[0.1534736603498459, 0.06191345304250717, 0.07555902004241943, 0.11764645576477051, 0.13383543491363525, 0.10808056592941284], [0.04143976420164108, 0.010811840184032917, 0.05688636377453804, 0.05101741850376129, 0.03289182856678963, 0.02281886339187622], [0.1062837541103363, 0.06322973966598511, 0.07658923417329788, 0.07383926212787628, 0.0947839692234993, 0.08647924661636353], [0.005363127216696739, 0.0008337862091138959, 0.002454673871397972, 0.004261078778654337, 0.00404482102021575, 0.003138179425150156], [0.17599976062774658, 0.19936394691467285, 0.11848770081996918, 0.14214150607585907, 0.1486670970916748, 0.1463574916124344], [0.10321064293384552, 0.03030219115316868, 0.06658056378364563, 0.06538345664739609, 0.07185138016939163, 0.07368887960910797], [0.10147936642169952, 0.16565243899822235, 0.14765256643295288, 0.0834459513425827, 0.1244165450334549, 0.10079142451286316], [0.18647703528404236, 0.08307930082082748, 0.17729686200618744, 0.1471959799528122, 0.16403084993362427, 0.14831720292568207], [0.21999064087867737, 0.10516099631786346, 0.12817923724651337, 0.1591508388519287, 0.21525201201438904, 0.19513215124607086], [0.019389361143112183, 0.032855816185474396, 0.030464613810181618, 0.012540876865386963, 0.016424158588051796, 0.02437157928943634], [0.17298413813114166, 0.13678531348705292, 0.1000177264213562, 0.15645259618759155, 0.14092695713043213, 0.1341678500175476], [0.05405352637171745, 0.027196571230888367, 0.04920458421111107, 0.05127294361591339, 0.04088088497519493, 0.04181807115674019]]"
